"coef","se","t_stat","prob","low_lim","up_lim","variable","dep_var","city_val"
-0.0035,0.0119,-0.2908,0.7712,-0.0268,0.0199,"(Intercept)","Trip_length","All"
0.4532,0.0251,18.0374,0,0.4039,0.5024,"grp1","Trip_length","All"
-0.4765,0.0248,-19.2119,0,-0.5251,-0.4279,"grp3","Trip_length","All"
0.0506,0.0192,2.6442,0.0082,0.0131,0.0882,"jobs","Trip_length","All"
-0.0457,0.0132,-3.4729,0.0005,-0.0715,-0.0199,"walk_score","Trip_length","All"
0.0161,0.0099,1.6183,0.1056,-0.0034,0.0355,"pct_dem","Trip_length","All"
0.0329,0.0403,0.8164,0.4143,-0.046,0.1118,"grp1:jobs","Trip_length","All"
0.0403,0.0314,1.281,0.2002,-0.0214,0.1019,"grp3:jobs","Trip_length","All"
0.0396,0.029,1.3632,0.1728,-0.0173,0.0964,"grp1:walk_score","Trip_length","All"
-0.0993,0.0236,-4.2087,0,-0.1455,-0.053,"grp3:walk_score","Trip_length","All"
0.0362,0.0116,3.1334,0.0017,0.0136,0.0589,"(Intercept)","Dest_count","All"
0.2117,0.0244,8.6719,0,0.1639,0.2596,"grp1","Dest_count","All"
-0.4618,0.0241,-19.1619,0,-0.5091,-0.4146,"grp3","Dest_count","All"
-0.1485,0.0186,-7.9636,0,-0.185,-0.1119,"jobs","Dest_count","All"
-0.1738,0.0128,-13.5822,0,-0.1989,-0.1487,"walk_score","Dest_count","All"
-0.2386,0.0096,-24.729,0,-0.2575,-0.2196,"pct_dem","Dest_count","All"
0.0742,0.0391,1.8946,0.0582,-0.0026,0.1509,"grp1:jobs","Dest_count","All"
0.0716,0.0306,2.3412,0.0192,0.0117,0.1315,"grp3:jobs","Dest_count","All"
-0.0138,0.0282,-0.4909,0.6235,-0.0691,0.0414,"grp1:walk_score","Dest_count","All"
-0.0686,0.0229,-2.9926,0.0028,-0.1135,-0.0237,"grp3:walk_score","Dest_count","All"
-0.0753,0.0119,-6.3253,0,-0.0986,-0.052,"(Intercept)","Park_trip_pct","All"
-0.229,0.0251,-9.1074,0,-0.2783,-0.1797,"grp1","Park_trip_pct","All"
0.5716,0.0248,23.0156,0,0.523,0.6203,"grp3","Park_trip_pct","All"
0.1021,0.0192,5.3291,0,0.0646,0.1397,"jobs","Park_trip_pct","All"
-0.0396,0.0132,-3.0074,0.0026,-0.0655,-0.0138,"walk_score","Park_trip_pct","All"
-0.0148,0.0099,-1.4887,0.1366,-0.0343,0.0047,"pct_dem","Park_trip_pct","All"
-0.1038,0.0403,-2.5763,0.01,-0.1828,-0.0248,"grp1:jobs","Park_trip_pct","All"
-0.0157,0.0315,-0.4983,0.6183,-0.0774,0.046,"grp3:jobs","Park_trip_pct","All"
0.0612,0.029,2.1085,0.035,0.0043,0.1182,"grp1:walk_score","Park_trip_pct","All"
-0.0325,0.0236,-1.3742,0.1694,-0.0788,0.0138,"grp3:walk_score","Park_trip_pct","All"
-0.0349,0.0132,-2.6395,0.0083,-0.0609,-0.009,"(Intercept)","Retail_trip_pct","All"
0.1088,0.028,3.8916,0.0001,0.054,0.1636,"grp1","Retail_trip_pct","All"
0.0115,0.0276,0.4146,0.6784,-0.0427,0.0656,"grp3","Retail_trip_pct","All"
-0.0897,0.0213,-4.2095,0,-0.1315,-0.0479,"jobs","Retail_trip_pct","All"
-0.023,0.0147,-1.5683,0.1168,-0.0517,0.0057,"walk_score","Retail_trip_pct","All"
-0.0106,0.011,-0.9623,0.3359,-0.0323,0.011,"pct_dem","Retail_trip_pct","All"
0.0431,0.0448,0.9628,0.3357,-0.0447,0.131,"grp1:jobs","Retail_trip_pct","All"
0.052,0.035,1.4854,0.1375,-0.0166,0.1206,"grp3:jobs","Retail_trip_pct","All"
-0.1177,0.0323,-3.6435,0.0003,-0.181,-0.0544,"grp1:walk_score","Retail_trip_pct","All"
0.0337,0.0263,1.2829,0.1996,-0.0178,0.0853,"grp3:walk_score","Retail_trip_pct","All"
-0.0255,0.012,-2.1194,0.0341,-0.0491,-0.0019,"(Intercept)","Health_trip_pct","All"
-0.1247,0.0254,-4.9046,0,-0.1745,-0.0748,"grp1","Health_trip_pct","All"
0.1797,0.0251,7.1594,0,0.1305,0.229,"grp3","Health_trip_pct","All"
0.0327,0.0194,1.6876,0.0915,-0.0053,0.0707,"jobs","Health_trip_pct","All"
0.0428,0.0133,3.2168,0.0013,0.0167,0.069,"walk_score","Health_trip_pct","All"
-0.0036,0.01,-0.3588,0.7198,-0.0233,0.0161,"pct_dem","Health_trip_pct","All"
0.0587,0.0407,1.4417,0.1494,-0.0211,0.1386,"grp1:jobs","Health_trip_pct","All"
0.0238,0.0318,0.7481,0.4544,-0.0386,0.0862,"grp3:jobs","Health_trip_pct","All"
0.0228,0.0294,0.7781,0.4366,-0.0347,0.0804,"grp1:walk_score","Health_trip_pct","All"
0.0014,0.0239,0.0565,0.9549,-0.0455,0.0482,"grp3:walk_score","Health_trip_pct","All"
-0.0759,0.0627,-1.2108,0.2269,-0.1988,0.047,"(Intercept)","Trip_length","Atlanta"
0.3574,0.1432,2.4958,0.0131,0.0767,0.638,"grp1","Trip_length","Atlanta"
0.0509,0.1655,0.3073,0.7588,-0.2735,0.3752,"grp3","Trip_length","Atlanta"
0.2347,0.0882,2.6607,0.0082,0.0618,0.4076,"jobs","Trip_length","Atlanta"
-0.2483,0.0787,-3.154,0.0018,-0.4025,-0.094,"walk_score","Trip_length","Atlanta"
-0.0548,0.0683,-0.8016,0.4234,-0.1887,0.0791,"pct_dem","Trip_length","Atlanta"
-0.014,0.1918,-0.0732,0.9417,-0.3899,0.3619,"grp1:jobs","Trip_length","Atlanta"
0.2527,0.208,1.2152,0.2252,-0.1549,0.6604,"grp3:jobs","Trip_length","Atlanta"
0.0962,0.166,0.5795,0.5627,-0.2292,0.4216,"grp1:walk_score","Trip_length","Atlanta"
-0.0419,0.1565,-0.2679,0.789,-0.3486,0.2647,"grp3:walk_score","Trip_length","Atlanta"
-0.116,0.0592,-1.9587,0.051,-0.2321,0.0001,"(Intercept)","Dest_count","Atlanta"
0.4197,0.1351,3.107,0.0021,0.1549,0.6844,"grp1","Dest_count","Atlanta"
0.155,0.156,0.9937,0.3212,-0.1508,0.4609,"grp3","Dest_count","Atlanta"
0.0345,0.0855,0.4037,0.6867,-0.133,0.202,"jobs","Dest_count","Atlanta"
-0.2081,0.0742,-2.803,0.0054,-0.3537,-0.0626,"walk_score","Dest_count","Atlanta"
-0.255,0.0644,-3.9598,0.0001,-0.3813,-0.1288,"pct_dem","Dest_count","Atlanta"
-0.1285,0.1819,-0.7065,0.4804,-0.4849,0.228,"grp1:jobs","Dest_count","Atlanta"
0.0677,0.1971,0.3435,0.7315,-0.3185,0.4539,"grp3:jobs","Dest_count","Atlanta"
0.1597,0.1565,1.0204,0.3083,-0.1471,0.4666,"grp1:walk_score","Dest_count","Atlanta"
-0.0923,0.1475,-0.6255,0.5321,-0.3813,0.1968,"grp3:walk_score","Dest_count","Atlanta"
0.0186,0.0642,0.2899,0.7721,-0.1071,0.1443,"(Intercept)","Park_trip_pct","Atlanta"
